Emotion,Text
sadness,ka uite nu a thi hlauh mai
anger,ka duhdanin ti lo na the se
joy,biakin I kal ang u hmiang
anger,an va tenawm ve
sadness,mithi kan va ngah ve
sadness,kan inhmu leh tawn lo chu ani mai sia
joy,mi te chu an nui veng veng reng thei mai ah
joy,naktuk ah ka u nen kan inkel dawn
neutral,tha deuhin zir rawh aw
joy,kan zai dawn
fear,tun man a chungchang an hre lo
anger,tianga min han ti hi chu ka ve lawmlo ve
fear,ka hlauthawng lutuk
anger,ka thin a rim
joy, a nuam dawn lutuk ringawt mai
joy,nui rawh le.
fear,ka hmelhriat te min en dan chu a dikin k hrelo
fear,rualbanlohna chungchang i hriat belh duh chuan a hnui a mi hi hmek ru
fear,mahni in mawhpulh ringawt tur ani ngai lo e  mahni inhmanghaih hi a tha a nia
fear,mi 130000 chuanin rilru lam rualbanlohna an nei nia zirna in a tar lang anni
fear, rilru lam doctor hmuh awlsam i duh chuan hemi link ah hian click rawh
fear,hrileng vangin thin lama harsatna nei an pung zel
fear,Climate chnage vangin mi tam tak tan rilru hahna a pun belh zel
fear,rilru lam doctor hmuh awlsam i duh chuan hetah hian hmet rawh le
fear, ka ngaihtuahna ka rawn thawh ve mai mai
fear,panic attack lam hrechiang i pan duh chuan hetah hian hmet rawh le
fear, rilru hahchawlhna i duh chuan helam ah hian lo kal rawh le
fear, puithiam i hmuh duh chuan hetah hian rawn kal rawh le
fear,inchung teruhte ventilation nei mumal lo ah hian awm loh tur
fear,stress lam a puihna i duh chuan tah hian lo kal rawh
fear,hnathawhna avanga rilru hahna tam lam a pan zel
fear,online therapy la duh tan hetan rawn kal rawh le
fear,hnathawhna a rilru tibuai tute hmachhan dan te
fear,ka rilru hahna te hian mahni in hmangaih a ti harsa khawp mai
fear,nizan lama min ngaihtuah avanga min be tu zawng zawng chungah ka lam e
fear,rilru hahna ti dam dan ka hmu chhuak .tih tur ngai zawng chu miten ka ngaidam che an tih hi ani
fear,online a rirlu hahdamna atan skype hi a tha hle
fear,rilru hah damna hi a pawimawh
fear,heng mite hi rilru fim ber te an ni em
fear,skype hmaga counseling la duh tan
fear,enge ka awm dan pawh ka la hrethiam chiah lo
fear,hlauthawng loin thil tih tawp hi atha rilru hahdamnan
fear,nu leh naupang te tan sikul a let hi  a hlauhthawngawm
fear, thil kan  ti chhe nasa lutuk a pawisa pawh min pe duh lo
fear, thil kan  ti chhe nasa lutuk a pawisa pawh min pe duh lo
fear,i lo hahdamnan blanket leh luhkham nuam tak lo lei ve ta che
fear, thil kan  ti chhe nasa lutuk a pawisa pawh min pe duh lo
fear,i rilru hahdam nan heng thilte hi lo ti ve thin ang che
fear,vawin hi keima tan pawh hun pawimawh tak ani
fear,Online Psychotherapy lo  la ve ru
fear,SOCIAL ANXIETY nei te tan
fear,rilru lam buina zirchianna pa riat kan nei e
fear,naupang te tana rizei
fear,psychodermatology rilru lam eng pawh a huam
fear,rilru hahna hi bacteria vang ani thei angem
fear, enge personal identity disorder hi
fear,skype ah rilru lam doctor a awm e
fear,rilru hahna hi bacteria vang ani thei angem
fear,tu emaw khan thil ziah tur mn lo hrilh hram teh u ka rilru a hah lutuk
fear,rilru lam damdawi tam tak kan zuar e
fear,skype ah rilru lam hremi i zawng ve em
fear, rilru natna hla a rawn chhuak ta
fear, hlauna te hahna te
fear,rilru hahdamna i duh ve em	
fear, rilru hahna thlir lawkna ni 
fear, hna thawh rim laia rilru buina hmachhawn dan
fear, rilru hahna thlir lawkna ni
fear, hahna ni
fear, mi kan channa a mi kan sun hi a pawina a awm rere lo ania
fear, rilru hahna  chungchang hi khawngaihin lo thehdarh ve ru
fear, rilru hahna vangin sakhuana hlauh hi a awm thei  an nia
fear,rilru lama in veng hi atha ania
fear,sikul ah hun rei tak kan hmang hian kan rilru lam nasa takin a kaih hnawih ani
fear,enge i blood type in i chungchang a sawi
fear,zingah min ngaih tuahna zawng zawng ka hmuh hian ka lawm a ni
fear, rilru hahna zirchianna pa riat kan nei ta
fear, rilru hahna thlir lawkna ni
fear, damdawi hian nasa takin kan rilru a khawih pawi thei ani	
fear,rilru hahna
fear, kan rilru hah hun lai ber hi kan buai lai ber ani chawk
fear, milar in a buaina a rawn puang darh ta ani
fear, rilru hahna te i hriatbelh duh em
fear,fa neih theihlohna hi mipa tam takin an vei mek ani
fear,rilru lam hre mi rawn rawn rawh le
fear,enge mi rilru hahna lan tir nate engtianga nasa in nge mi a khawih theih	
fear, ka ngaihtuahna ka rawn pho lang ani e
fear, autism chungchang i hriatbelh duh em
fear,rilru lam therapy la duh tan
fear,he thil hi rilru lam atan a chhiartur tha tak ani
fear, mi an lungngaih loh vangin an rilru hahna an neilo tihna anilo
fear,hmuh chi riata i thil ei i u upat hnua a khawih pawi theih te
fear,ha tha tak nei duh tan a thil pariat ti duh te tan
fear, engtin nge trauma in kan rilru a khawih pawi theih dan
fear, vawinah hemi hunah hian rilru lam ah in hriat tirna ah hian lo kal ve rawh
fear, kan estrogen in kan riilru lam a kaih hnawih dan
fear,rilru lam hriat belh duh chuan tah hian lo kal rawh le
fear,rilru lama mi thiamte rawn duh tan
fear, rilru lam in kan mizia a thlak dan
fear, tunah hian i hlima na um rawh thil dang nghak lo hram ru
fear, i nitin nundan in i rilru a khawih danglam nasa thei hle mai
fear, rilru hahna neite tan tahhian min rawn be ru
fear,social distance nei hram a tha e
fear,thil tih thut ngai i nei e
fear,i phone kha a puak thut thei ania
fear,tun thlenga signal neih loh chu k rilru a hah
fear,vawin chu a pawi hle mai
fear,rilru buina i nei ami
fear,	indo na chhuah thut theih ring ani
fear, in te lutuk emaw lian lutuk neihloh tur
fear,sawrkar in thil thalo an ti em loang chu maw
fear,hmelhriat loh nen a hnathawh loh hram i beisei ang	
fear, a tui a tihloh ka va hlau ve
fear, thluak chauh niloin kan rilru nen kan inzirtir a tha e
fear, mi pa emaw hmeichhia pawh nise kan pute hi chu hlauh tur
fear, exam kan nei dawn
fear, hlauhna neih te hi a tha
fear,ka hmaihte hi ka chan ang tih ka va hlau ve
fear, hruaituu tha kan neih a va trul em
fear, khawngaih takin lo dam hram rawh
fear, tinge a va har ve	
fear, kan khawvel chhiat tawh ziah hi
fear, 	hlau thawg suh
fear, thlahrang film ka en a ka hlau
fear, ka va huphurh e
fear, i hma lam hun ngun takin thlir ve rawh
fear, thihna chungchang ka vawi khat hriatna
fear, a bo thut mai
fear, sikul thluka hlauh ka neilo
fear,class a tumah hmel thriat neihloh mai chuh	
fear, doctor hmuh te nuam ka tilo
fear, hmelhriatloh biak ka hlau
fear, zan thiam ka hlau
fear, mahni in tumah kan awm lo
fear, enge i hlauh
fear, hlau reng reng suh
fear, tinge i hlauh leh thin le
fear, vawin chu ka van hlau tak
fear, mahni a zing hi chu a hlauhawm
fear, ka lak atrang kal bo lo hram rawh	
fear, eng thil nge i hlauh
fear, i thil hlauh min hrilh rawh
fear, hmehriat loh bula awm hi nuam ka tilo
fear, mipui zinga awm nuam ka tilo
fear, tlan chhe rawh
fear, bialpa a nei em ka zawt hlau
fear, min hmu lo hram se aw
fear, min hmu lo se ka van ti
fear, ka zam lutuk
fear, mipui hmaa ding hi ka zam
fear, mi in hnunga an au thut hian i hlau ve thin em
fear, ka kal ngam lo ka zam
fear, ui ka zam e
fear, kan nungchate humhalh te hi a trul a ni
fear,mi tam tak ruk bo an ni
fear, thil hmuh chhuan thar avangin kan thil neihte a rin tlak nge tlak lo zir chian mek a ni
fear, biakin chu nizan khan tu tih hriatloh ten an rawk ani
fear, rukru te kan tawng palh ang
fear, in thil an ru ange aw
fear, rukru te in tawng hlauh ange
fear, suamhmang te in tawng ange
fear, misual te in tawng ange
fear, misual an rawn kal dawn
fear, hremna i tawk ange
fear, i sual chuan ramhuai in a ru bo daih dawn che a nia aw
fear, ka dam chhuak leh thei a ngem le aw
fear, dam hram ila aw
fear, ka thi duh lo
fear, thi lo hram rawh
fear, thianpa min chhan rawh
fear, min chhan ru
fear, misual
fear, rukru
fear, ramhuai
fear, suamhmang
fear, thualthatu
fear, lungphu thalo te i nei ange
fear, lungphu thalo min neih tir dawn alawm le
fear,min pui hram ru
fear, mamawh hunah an rawn kal em ang chu maw
fear, mamawh niin khawiah mah an awm nang
fear, ka thi dawn amaw ka tiam lawm le
fear, hlau rere suh i tan ka awm a nia
fear, a thu sawi khan min ti hlauthawng alawm
sadness, ka lu a na a ka mu mek
sadness, mitthi inah ka awm mek
joy,thiante ka va kawm chak tawh e
neutral, thil intleng i duh em
fear, tinge ilo kal loh a i tha em 
fear, thianpa chu engtin tak awm ta maw a tha em ang chu maw
fear,	khaia tinge a thih thut a
sadness,ka hmangaih ka ngai che
sadness,tipalh
neutral, mut chhuak lo
fear, a thil ei hak a nge
sadness, a zo thei loang a
sadness, tlang lawn hi chu inhremna a ni ringawt
neutral, ka hre ve chiah e
sadness,na karen a awm lo
joy, a tha e
sadness,tinge zan ka mut theih miah loh le	
fear, a lawm loh thu a sawi a nia aw
sadness,ka hmagaih che emaw i ti chu ka tipalh aw
fear,ava pawi ve a that leh vat ka lo beisei ang
joy,thil tha deuh a rukin ka rua hman dawn
neutral, enge i thupui.
fear, khaia  ka thil ei hi  ka hre miahlo
sadness,ka damlo dawn anih hi
fear,ka haw kawngah hmelhriatloh pahnih ka tawng alwam
sadness,  tinge chutiang ten an lo tih che a .ava pawi ve
fear,karei ka zo hman tawh miahlo ang a
sadness,exam chu engmah thiam pawh ka neih k hrelo a
anger,cancer hi ka hua
anger, chu nu chu zanrei ah enge a tih le
neutral, mut chhuak lo
neutral,  saw bus
neutral, kan leng mai ai ange
neutral, minlo be rawh
neutral, kar thum a la awm
sadness,mut theihloh chu avan hrehawm
fear, ka va mamawh ve thil pawi a thleng hmain
neutral, hna ka thawh angai a
neutral, min zui suh aw
joy, vaiin chu ni nuam tak ani	
joy, lo kal ngei ngei rawh kan hmu chak lutuk che
fear, aw! tunge phone theihnghilh le
fear, thil theihnghilh i nei ange aw 
neutral,sikul chu khar ani
fear, naktuk sikul ka kal thei em ang chu maw
fear, min zirtir loh chu ka hlawhchham ngei ngei ang
sadness,tinge ka hmel ka hmuh theih miahloh le
neutral, tire ka thlak mek
neutral, ka inbual dawn
neutral,tui ka lo in
fear, tinge ka va hah ve
neutral, ka rawn bia ang che
neutral, hna ka thawk a ka hman lo alawm
neutral,kan in hmu leh dawn nia
fear, chawlh kan neilo ang a
joy, kan inbe leh thei a ka van lawm tak
neutral, kan in kan sa tha lawk a nge	
neutral,ka nei alawm
sadness, kan va ngai dawn che em vele aw
fear,ka va rawl em em ve .tinge le aw
sadness,kan ramchhung ah a awm ve lo
sadness,ka lei chak teh reng nen pawisa neihloh chu a
sadness,ka lunggaihna
sadness,mi zawng zawng an thi vek ... a va pawi ve le aw
neutral, inah ka awm mai mai
fear,	a duh zawng ani em ang chu maw
sadness,lotion ka nei tawh lo alawm le
fear,kan naute chu an hritlang ani ngei ngei ang
joy, ka hmu leh thei che u chu ka van lawm
neutral, ka lo pe ang che
fear,misual an tawng ang tih hi a hlauhawm thin
neutral, an in kalh
neutral, sawi rawh le
fear,  ka zawhte in min seh alawm le
neutral,kan va in hmu khat ve
neutral,chu pawh ani chuanglo
joy, ka chhun chawlhna ngainat ber ani hi a tui ania
fear, an innei thei em ang chu maw
fear, a bo an ti ania
sadness,avan pawi tak exam kan neih lai ania
neutral, naktuk ah ka rawn kal ang
sadness,in kal tur hi ka van ui tak che u em
fear, rial a tla em loang chu maw
sadness, keini chu kan muang lutuk
fear, naktuk ka van ti peih lo tak
anger, tinge avan han chhe tak em he thil hi
fear,min be nagi lo lutuk a ka hlauthawng hman alawm
fear, ka uite hmuh kha ka va ngaihven tak
fear,zannin chu ka mu ve thei tawh em ang chu maw
neutral,enge i an
anger, he thil chhiat zia hi chu aw
fear, tuman strawberry an nei lo
neutral,kan mu tawh ange
joy, ka van hmangaih tak
sadness, mut theihloh hi a van pawi tak
sadness, naktuk hnatawh tur chu ka van peihlo tak em
sadness, thiante pawh infiam pui theihloh chu avan pawi tak em
neutral, pu te u
anger, ka van haw tak em ka hna hi
fear, ka phone ka thlauh alawm le
anger, tinge kan chhak loh a
neutral,tak tak ni ang maw
sadness, ka awm ava nuam lo tak
fear, tinge an va tlai ve
anger, ngati maw
sadness, ka rawn kal chak nen aw ava pawi tak
anger,tinge thil chhia min pek
fear, ui rannung a rawn lut
sadness,tinge min bum le aw
fear, i va khuh nasa ve i tha em
neutral, e he
sadness, ka chau
neutral, kan kal tawh ange
neutral, mangtha u
neutral, ruah a sur
sadness, ka rawn kal hman lo a avan pawi tak
neutral, khatah khan aw
neutral, zawhte ka nei lo
sadness, dawmloh hi ava ninawm tak
neutral, vawin chu ava ho ve
anger, tinge ava tlem ve
joy, ka lawm lutuk e
fear, a thi ta
anger, min chhang vat ta che
sadness, tinge an bo vek le aw
joy, ka va zin chhak tawh tak em
neutral, ka haw chiah
fear, an la in hawng em ang chu maw
neutral, ka thleng chiah e
joy, a van tui tak em
sadness,a awm a nuam lo ka mu dawn
neutral, votre ka tlak dawn
neutral, hnathawkte chiah aw
sadness,ka inthlahrung
sadness, ka awm a nuam thei lo
neutral, vawi riat
neutral,naktuk ah kan in hmu dawn nia
fear, ti nge i va damthat loh hmel ve
neutral,anih leh phawt
anger, mi mawl pa
neutral, aw
fear, ka van thiamlo tak
neutral, chhun ah ka mu mai ang
fear, engmah ka thil lo ania
neutral, darkar ruk vel kan mu ange
joy, hna ka thawk ve thei ta
sadness, ka va pawi e aw
neutral, ava hma ve
sadness, ka hna thawh tawp ni ani ta ka va lungngai tak	
joy,ka hmu leh theih hun che u chuka van han nghakhlel tawh tak 
fear, ka lu a rawn na vak mai
fear, ka rawn na vak mai
fear, ka hlawhchham ka va hlau e
fear, ka hlauh ang ngei in
neutral, ka thiante an nih hi
fear, ka hmel ka hmu thei miah lo ania
fear, tar ka hlau
fear, nangmah chiah ani em loang chu maw
anger, hna zo tawh amaw tih laia thil dang a rawn thleng hi chu ava nin awm tak
fear, ti tawh su aw
fear, a pasal chu a rawn haw leh thei em ang chu maw
sadness, ka uite ka ngai
anger, ka hua che u
joy, ava nuam hmel ve
sadness, ka duhzawng pawh ka nei thei lo
fear, a len hunah min kalsan angem le
sadness, kan ran vulh a thi deih alawm
neutral, ni a eng
fear, perek ka rap palh ka hlau
sadness, nun intlak thei ila
sadness, tinge i lungngaih a
sadness, damdawi ka ei a ngai dawn
sadness, ka trap nasa rap mai
neutral, min lo zawt rawh
neutral, ka lo zawt lawk chd
fear, hlauhna
neutral, ka thawn chhuak e
joy, ka hmu leh thei che hi chu ka lawm
neutral, mangtha muttui
neutral, tv ka en
joy, i kawr chu avan mawi tak em
sadness, ka pi ka van ngai
fear, tinge ka chhet theih miah loh a
sadness, hna pawh ka thawk peih lo
sadness, phone leina tur pawisa pawh ka nei tawh lo
fear, mi nen kan insu alawm
fear, an hmu tawh em le aw
anger, ava bengchheng ve
anger, mi mawl pa leh
sadness, ka rin ai deihin a ho
anger, ka thinrim
sadness, ka thil neih a tha tawk lo
fear, ka thil neih hi ala tha em ang chu maw
fear, ka thiante ka chhan duh lo
anger, i va tenawm ve le
fear, thil avan to tak
anger, tinge ava to ve
fear, hna ka va mamawh tak
sadness, ka lo awm velo chu avan pawi
fear, ka hmu leh em ang chu maw
sadness, ka hnathawh pui pa a awm tawk lo
anger, mut theih loh chu ka van ning tak
sadness, thian pawh ka neilo
neutral,lo kal rawh
anger, chawlh laia hna in pek chu
neutral, darkar khat vel min lo ngak
neutral,hetah ka la awm
anger, tinge a thawh theih miah loh
joy,infiamna chu avan nuam tak
fear, nizan ah thil a puak thut alawm
anger, motor ho hi ka van haw tak
sadness, ava han ho tak
sadness, ava pawi em em ve le
joy, ka room chu van nalh tak
anger, ka hnek ang che
neutral, dawrah ka kal
neutral, engmah
anger, ka va ning ve
neutral, kei ve hi
anger, insual ila
fear, kawngkhar i in hawng huau mai
anger, thinrim
neutral, ka ril a tam
fear, thih ka van hlau tak
sadness, ka khel thei tawh rih lo  avan pawi
fear, engtin nge ka tih dawn ka pawisa a bo vek
sadness, ka van ui tak em
fear, ka lu a nat ka hlau
fear, khawnge ka awm a
neutral, sikul ka kal dawn
neutral, ppt ka siam mek
joy,ka pass
joy, an va zai mawi tak
neutral,leng ila
sadness,ka lung a leng em mai
fear, kawng ka bo ania
anger, mi mawl pa leh
fear, ka pass em ang chu maw
neutral, film ka en mai mai
neutral,ala tran lo
sadness, hun kal tawhah ka va let chhak tak em
anger, update ve chu eng mah pawh an siamthat loh chu le
fear, khi tlai khi a hrang in ka hria
sadness, khawi tlaiah pawh kal ila natna chu a awm reng
joy, exer lak hi a nuam ania
fear, ka van han hrethiam lo ka hlauthawng tawp
neutral, thurawn ka pe ang che
fear, ka hna tran ni  ka va huphurh ve
joy, karleh ah mela ah kan kal dawn
neutral, guitar i perh thiam em
fear, ka thil an ruk bo deuh ka hlau
neutral,kan thlir mai mai ange
sadness,hmeicche hmeltha deuh min bia amaw tih laiin mi a hai lek alo nia
anger, thunge ka in lut
anger, an flim thar chu ka haw reuh tak
neutral, darkar riat a liam ta
fear, ruah sur laia motor khalh hi chu ka trih
anger, eng thil nge ka inah ilo tih ve ringawt a
fear, ka lang sar viau em le
fear, ka kal duh lo ka hlau
anger, tinge raipuar chungin mei i zuk a i va mawl ve
anger, dawt min hrilh tawh su
neutral, ka mawza hi a dum ania
neutral, motor ka khalh haw mek
fear, lei zawh tur chu leh  a him a maw
sadness, min puitutur ka va mamawh tak
anger, tinge a load theih miah loh a
sadness, mangtha pawh min hrilh hman lo
sadness, ka nu a damlo a
neutral, ka rawn thleng trep
anger,game tha pawh siam an tum lo a nia  tenawm hlawm lutuk mai
neutral, office ah ka awm mek
fear, a him tih i chiang a maw ka hlau ania
sadness, ni hnih ngawt mai kan in hmu tawh lo
sadness, ka ngai lutuk che u a nia dam takin le
sadness, kum chu a kal liam leh ta mai chu ania
sadness, ka thiante nena leng theih loh chu a va hreawm ve
neutral, ka haw chiah
fear, twitter an hack leh tawh ania
sadness, jean ka size a awm lo
neutral,binder ah kan dah ange
anger, hmelchhe pa
neutral,inkhel ila
fear, kal lo hram rawh  ka ngai lutuk ang che
joy, kan insawn dawn a ka phur tawp
neutral, zingah kan in hmu leh dawn nia
neutral, kan tel ve ange
sadness, mi kuah tur ka duh
neutral, ka ti ti mai mai ka chhak
sadness, thil engmah a pangai thei tawp lo
fear, naktuk ah ka thawh hma ngei ngei a ngai ania aw
joy, lawm ang u
fear, engtin nge mi ka message dawn ka hrethiam lo ania
neutral, news ka chhiar
fear, ka sam i chhep kheng ange aw
sadness, sikul ah ka va let peih lo tak
neutral, zing dar sarih ah ka tho ang
anger, tinge rannung in sawisak a
fear, ka tawhthlu a engmah a tliah loh ka beisei
sadness, ka thianten an thil an ti bo ania
anger, kha nu min rap tu mawl zia kha aw ka va ngei tak
neutral, thil ka zuar dawn
sadness, game ka va khel chak
neutral, keipawh le
neutral, aizawl ava ang ve
neutral, ka pate in chaw kan ei dawn
joy, hmeichhe hmeltha tak ka tawng alawm le
anger, hmela chu min hriatloh der chu le
neutral, ei rawng ka bawl mek
neutral, chaw ei ang u
joy, a tawp a tawpah ruah chu a sur bang ve ta	e
sadness, ka ha a na
anger, he film hi ka hua
anger, maths hi ava han ninawm tak em
neutral, ka inline mek
fear, naktuk chu hna dil ah ka ting em ang chu maw
fear, haw vat rawh a tlai tawh ania
fear, min lo hruai ka awmna lai hi ka hreo ania
fear, kan chesual a lawm	
sadness, an hmu leh thei em ang chu maw
neutral, kan inah lo riak la
sadness, ka thil neih ka chhan zung zung mai a
sadness, ka ranvulh a thi
fear, ka hmu leh tawh loang tih ka hlau	
sadness, ka thlalak hlui te ka ti bo deih
sadness, ka ui hi la duh awm hram se aw	
sadness, ka haw hman dawn o anih hi avan pawi
fear, pute tan ilo tawngtai ang u
neutral, ka phone ka update ange
sadness, naa dawr an in khar hman
sadness, zaiin chu a va reh ve
anger,  ka thinrim
fear, ti nge min chhang duh miah loa ka ngaihtuah che ania
fear, ka haw hmanin a tawp hman ang tih ka hlau
sadness, ka zin tumna pawh ka thrulh angai
fear, engtin nge nian ka hmai a puam vak ania
fear, tu man an hmu hman loa a pawi tawp
fear, a va zia o e aw ka rawn ka vat ang
neutral, bial
neutral,engmah pawh tih tur ka nei lo
neutral, ka harh chiah e
sadness, pawisa pawh ka nei tawhlo
sadness, ka awm a va nuam o khawp mai
anger, tinge hna pahnih ka tih bik a min pui ve teh u
fear, thawhna ah ka chuang ngam lo
fear, ka rawn kal ang lo hlau reng reng suh
neutral, an zai tran trep tawh e
fear, i na em
anger, tunge tui ti baw vak a
sadness, naktuk ah ka in entir a ngai dawn
neutral, kan thu hahchawl ange
joy, trawng thar zir hi a tha ania
fear, lir nghing a nia
neutral, ka rawn la ang
fear, ka naute an chesual ania
fear, engtin nge niang ka naktuk ah ka rawn ka hman loang ka rawl riau mai
neutral, chaw kan chhum ange
neutral, ke in kan rawn kal dawn ania
fear, ti nge ka lu anat thut thut le
sadness, an inthren ta mai chu ani sia
fear, ka research paper chu ka thehut hman em ang chu maw
fear, nau chu an chhiat loh hlau i beisei ang u
sadness, ka va mu chak tak em
anger, ngati nge ruah sur apiangin karen a awmloh chu le
fear, ka zawhte a bo
sadness, ui ka hmai a bawl nasa tawp
anger, kan nghah rei nen nen zai pawh an zai loh chu le
fear, ka nu chungchang ka hre ve chiah		
sadness, ka duh lo e a
sadness, ka rilru a nuam lo
sadness, damloh hi chu a va hrehawm tak
neutral, dar khat velah ka hman chauh ang
neutral, hna thar ka tran dawn
fear, trawng pawh ka trawng ngam lo
sadness, ka pum a na
fear, ka thiante an bo deih
neutral, lehkha kan chhiar ange
joy, i thlalak kha ka hmu chiah a ava nuam hmel ve
sadness, ka ril a tram tawp
sadness, car ah ka chesual a damdawi inah ka awm mek
fear, seat ka la chang em ang chu maw
neutral, chibai vek ule
anger, thiante an party laia lehkha zir ngaih chu ava ninawm tak
joy, ka zai chak tawp
sadness, link hi a thawk lo ania
neutral, mahni in ka awm a engmah pawh ka hre ve lo
fear, oi ka phone battery a zo deih
fear, ka thi dawnin ka hria
fear, tanin ah ka awm nimai hian ka hria
neutral, hmangaih neih a tha ania
anger, tinge chaw pawh i chhum sual a
fear, kawvel hi a tawp thut ang tih ka hlau
sadness, pawi hle mai	
joy,hla thar kan ngaithla mai mai teh ang
sadness, ka ha a puam
joy, i hla chu ka duh tawp
neutral, sikul i kal ang u le
sadness, ka computer a chhe deih a
neutral,i haw chiah alaw
fear, mi an ban thut thut mai a
fear, thil thalo a thleng ang tih ka hlau a  rei tawh ropui mai sia
fear, ka ui a bo ania
anger, i va han zaithiam lo tak
fear, ka ha a dam hman angem le aw
